Gene
KRAS
EGFR
TP53
STK11
KEAP1
BRAF
MET
ERBB2
ALK
RET
ROS1
PIK3CA
NF1
SMARCA4
NFE2L2
SETBP1
EP300
ATM
KDR
NRAS
RB1
RIT1
MAP2K1
PIK3R1
PTEN
EML4
CCDC6
FGFR3
TACC3
AKAP9
RAF1
MYC
MYCL
MYCN
CDKN2A
CDKN2B
MDM2
MDM4
CCND1
CCNE1
CDK4
CDK6
SOX2
TERT
NKX2-1
FGFR1
YAP1
AURKA
